president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,1/20/2021,2/14/2017,2/16/2017,Gallup,B,1500,a,0.15888971,0,38,56,38.861441,54.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49297,77313,2/17/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/15/2017,2/17/2017,Gallup,B,1500,a,0.15873077,0,40,55,40.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49301,77317,2/18/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/16/2017,2/18/2017,Gallup,B,1500,a,0.15860471,0,41,55,41.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49299,77315,2/19/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/17/2017,2/19/2017,Gallup,B,1500,a,0.1585108,0,42,53,42.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49310,77326,2/20/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/18/2017,2/20/2017,Gallup,B,1500,a,0.15844849,0,41,53,41.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49312,77328,2/21/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/19/2017,2/21/2017,Gallup,B,1500,a,0.15841743,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49328,77344,2/22/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/20/2017,2/22/2017,Gallup,B,1500,a,0.15841743,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49320,77336,2/23/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/21/2017,2/23/2017,Gallup,B,1500,a,0.15841743,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49319,77335,2/24/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/22/2017,2/24/2017,Gallup,B,1500,a,0.15841743,0,41,53,41.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49331,77347,2/25/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/23/2017,2/25/2017,Gallup,B,1500,a,0.15841743,0,41,54,41.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49327,77343,2/26/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/24/2017,2/26/2017,Gallup,B,1500,a,0.15841743,0,42,54,42.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49370,77451,2/27/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/25/2017,2/27/2017,Gallup,B,1500,a,0.15841743,0,42,54,42.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49374,77460,2/28/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/26/2017,2/28/2017,Gallup,B,1500,a,0.15841743,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49431,77604,3/1/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/27/2017,3/1/2017,Gallup,B,1500,a,0.15841743,0,43,51,43.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49435,77609,3/2/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/28/2017,3/2/2017,Gallup,B,1500,a,0.15841743,0,43,51,43.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49438,77613,3/3/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/1/2017,3/3/2017,Gallup,B,1500,a,0.15841743,0,43,51,43.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49443,77625,3/5/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/2/2017,3/4/2017,Gallup,B,1500,a,0.15841743,0,43,50,43.861441,48.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49444,77626,3/5/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/3/2017,3/5/2017,Gallup,B,1500,a,0.15841743,0,44,50,44.861441,48.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49448,77630,3/6/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/4/2017,3/6/2017,Gallup,B,1500,a,0.15841743,0,43,51,43.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49452,77635,3/7/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/5/2017,3/7/2017,Gallup,B,1500,a,0.15841743,0,42,53,42.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49464,77655,3/8/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/6/2017,3/8/2017,Gallup,B,1500,a,0.15841743,0,41,53,41.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49467,77662,3/9/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/7/2017,3/9/2017,Gallup,B,1500,a,0.15841743,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49470,77665,3/10/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/8/2017,3/10/2017,Gallup,B,1500,a,0.15841743,0,44,49,44.861441,47.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49474,77675,3/11/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/9/2017,3/11/2017,Gallup,B,1500,a,0.15841743,0,45,49,45.861441,47.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49476,77678,3/12/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/10/2017,3/12/2017,Gallup,B,1500,a,0.15841743,0,42,51,42.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49479,77681,3/13/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/11/2017,3/13/2017,Gallup,B,1500,a,0.15841743,0,39,55,39.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49485,77695,3/14/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/12/2017,3/14/2017,Gallup,B,1500,a,0.15841743,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49491,77702,3/15/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/13/2017,3/15/2017,Gallup,B,1500,a,0.15841743,0,42,53,42.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49494,77705,3/16/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/14/2017,3/16/2017,Gallup,B,1500,a,0.15841743,0,41,54,41.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49502,77720,3/17/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/15/2017,3/17/2017,Gallup,B,1500,a,0.15844849,0,40,55,40.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49503,77721,3/18/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/16/2017,3/18/2017,Gallup,B,1500,a,0.15848741,0,37,58,37.861441,56.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49505,77723,3/19/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/17/2017,3/19/2017,Gallup,B,1500,a,0.1585108,0,39,55,39.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49507,77725,3/20/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/18/2017,3/20/2017,Gallup,B,1500,a,0.15853423,0,39,56,39.861441,54.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49510,77728,3/21/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/19/2017,3/21/2017,Gallup,B,1500,a,0.15855769,0,40,55,40.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49519,77745,3/22/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/20/2017,3/22/2017,Gallup,B,1500,a,0.15858118,0,39,56,39.861441,54.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49524,77751,3/23/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/21/2017,3/23/2017,Gallup,B,1500,a,0.15860471,0,41,54,41.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49528,77756,3/24/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/22/2017,3/24/2017,Gallup,B,1500,a,0.15862827,0,41,54,41.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49533,77767,3/25/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/23/2017,3/25/2017,Gallup,B,1500,a,0.15865187,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49534,77768,3/26/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/24/2017,3/26/2017,Gallup,B,1500,a,0.1586755,0,36,57,36.861441,55.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49536,77770,3/27/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/25/2017,3/27/2017,Gallup,B,1500,a,0.15879154,0,36,56,36.861441,54.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49538,77772,3/28/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/26/2017,3/28/2017,Gallup,B,1500,a,0.15893122,0,35,59,35.861441,57.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49548,77792,3/29/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/27/2017,3/29/2017,Gallup,B,1500,a,0.15902482,0,38,57,38.861441,55.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49553,77797,3/30/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/28/2017,3/30/2017,Gallup,B,1500,a,0.15911867,0,38,56,38.861441,54.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49561,77811,3/31/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/29/2017,3/31/2017,Gallup,B,1500,a,0.15921276,0,40,56,40.861441,54.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49562,77812,4/1/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/30/2017,4/1/2017,Gallup,B,1500,a,0.1593071,0,38,57,38.861441,55.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49563,77813,4/2/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,3/31/2017,4/2/2017,Gallup,B,1500,a,0.15940169,0,38,57,38.861441,55.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49565,77816,4/3/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/1/2017,4/3/2017,Gallup,B,1500,a,0.15952845,0,39,55,39.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49568,77820,4/4/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/2/2017,4/4/2017,Gallup,B,1500,a,0.15966364,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49579,77840,4/5/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/3/2017,4/5/2017,Gallup,B,1500,a,0.15977515,0,41,53,41.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49581,77842,4/6/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/4/2017,4/6/2017,Gallup,B,1500,a,0.16041092,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49584,77845,4/7/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/5/2017,4/7/2017,Gallup,B,1500,a,0.16118777,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49591,77859,4/8/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/6/2017,4/8/2017,Gallup,B,1500,a,0.16170439,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49592,77860,4/9/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/7/2017,4/9/2017,Gallup,B,1500,a,0.16222539,0,40,53,40.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49595,77863,4/10/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/8/2017,4/10/2017,Gallup,B,1500,a,0.16275083,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49597,77865,4/11/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/9/2017,4/11/2017,Gallup,B,1500,a,0.16328079,0,41,52,41.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49605,77882,4/12/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/10/2017,4/12/2017,Gallup,B,1500,a,0.16381533,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49607,77884,4/13/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/11/2017,4/13/2017,Gallup,B,1500,a,0.16445236,0,40,55,40.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49613,77891,4/14/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/12/2017,4/14/2017,Gallup,B,1500,a,0.16511983,0,39,55,39.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49614,77892,4/15/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/13/2017,4/15/2017,Gallup,B,1500,a,0.16571883,0,41,53,41.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49615,77893,4/16/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/14/2017,4/17/2017,Gallup,B,1500,a,0.12412144,0,41,52,41.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49623,77907,4/18/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/15/2017,4/18/2017,Gallup,B,1500,a,0.24649672,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49632,77924,4/19/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/17/2017,4/19/2017,Gallup,B,1500,a,0.16387737,0,43,50,43.861441,48.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49638,77930,4/20/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/18/2017,4/20/2017,Gallup,B,1500,a,0.16342788,0,43,51,43.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49643,77936,4/21/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/19/2017,4/21/2017,Gallup,B,1500,a,0.16298262,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49644,77937,4/22/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/20/2017,4/22/2017,Gallup,B,1500,a,0.16254151,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49645,77938,4/23/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/21/2017,4/23/2017,Gallup,B,1500,a,0.16264427,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49649,77942,4/24/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/22/2017,4/24/2017,Gallup,B,1500,a,0.16288403,0,40,55,40.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49655,77954,4/25/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/23/2017,4/25/2017,Gallup,B,1500,a,0.1627147,0,39,56,39.861441,54.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49658,77958,4/26/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/24/2017,4/26/2017,Gallup,B,1500,a,0.16254586,0,40,55,40.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49669,77977,4/27/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/25/2017,4/27/2017,Gallup,B,1500,a,0.1623775,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49673,77984,4/28/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/26/2017,4/28/2017,Gallup,B,1500,a,0.162753,0,43,51,43.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49674,77985,4/29/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/27/2017,4/29/2017,Gallup,B,1500,a,0.16327104,0,42,53,42.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49675,77986,4/30/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/28/2017,4/30/2017,Gallup,B,1500,a,0.16351654,0,41,55,41.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49677,77988,5/1/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/29/2017,5/1/2017,Gallup,B,1500,a,0.16376397,0,42,54,42.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49682,77999,5/2/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,4/30/2017,5/2/2017,Gallup,B,1500,a,0.16401333,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49690,78016,5/3/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,5/1/2017,5/4/2017,Gallup,B,1500,a,0.12234519,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49694,78020,5/5/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,5/3/2017,5/5/2017,Gallup,B,1500,a,0.16167191,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49703,78036,5/9/2017,11:47:59 20 Jan 2021
